format_raw,Format,Metric,Year,count,Revenue [m$],Units [m]
Cassette,Cassette,Units,2008,1,0,0.1
Cassette,Cassette,Units,2009,1,0,0
Cassette,Cassette,Units,2010,1,0,0
Cassette,Cassette,Units,2011,1,0,0
Cassette,Cassette,Units,2012,1,0,
Cassette,Cassette,Units,2013,1,0,
Cassette,Cassette,Units,2014,1,0,
Cassette,Cassette,Units,2015,1,0,
Cassette,Cassette,Units,2016,1,0,
Cassette,Cassette,Units,2017,1,0,
Cassette,Cassette,Units,2018,1,0,
Cassette,Cassette,Units,2019,1,0,
Cassette Single,Cassette,Units,1973,1,0,
Cassette Single,Cassette,Units,1974,1,0,
Cassette Single,Cassette,Units,1975,1,0,
Cassette Single,Cassette,Units,1976,1,0,
Cassette Single,Cassette,Units,1977,1,0,
Cassette Single,Cassette,Units,1978,1,0,
Cassette Single,Cassette,Units,1979,1,0,
Cassette Single,Cassette,Units,1980,1,0,
Cassette Single,Cassette,Units,1981,1,0,
Cassette Single,Cassette,Units,1982,1,0,
Cassette Single,Cassette,Units,1983,1,0,
Cassette Single,Cassette,Units,1984,1,0,
Cassette Single,Cassette,Units,1985,1,0,
Cassette Single,Cassette,Units,1986,1,0,
Cassette Single,Cassette,Units,1987,1,0,5.1
Cassette Single,Cassette,Units,1988,1,0,22.5
Cassette Single,Cassette,Units,1989,1,0,76.2
Cassette Single,Cassette,Units,1990,1,0,87.4
Cassette Single,Cassette,Units,1991,1,0,69
Cassette Single,Cassette,Units,1992,1,0,84.6
Cassette Single,Cassette,Units,1993,1,0,85.6
Cassette Single,Cassette,Units,1994,1,0,81.1
Cassette Single,Cassette,Units,1995,1,0,70.7
Cassette Single,Cassette,Units,1996,1,0,59.9
Cassette Single,Cassette,Units,1997,1,0,42.2
Cassette Single,Cassette,Units,1998,1,0,26.4
Cassette Single,Cassette,Units,1999,1,0,14.2
Cassette Single,Cassette,Units,2000,1,0,1.3
Cassette Single,Cassette,Units,2001,1,0,-1.5
Cassette Single,Cassette,Units,2002,1,0,-0.5
Cassette Single,Cassette,Units,2003,1,0,0
Cassette Single,Cassette,Units,2004,1,0,0
Cassette Single,Cassette,Units,2005,1,0,0
Cassette Single,Cassette,Units,2006,1,0,0
Cassette Single,Cassette,Units,2007,1,0,0
Cassette Single,Cassette,Units,2008,1,0,0
Cassette Single,Cassette,Units,2009,1,0,0
Cassette Single,Cassette,Units,2010,1,0,0
Cassette Single,Cassette,Units,2011,1,0,0
Cassette Single,Cassette,Units,2012,1,0,
Cassette Single,Cassette,Units,2013,1,0,
Cassette Single,Cassette,Units,2014,1,0,
Cassette Single,Cassette,Units,2015,1,0,
Cassette Single,Cassette,Units,2016,1,0,
Cassette Single,Cassette,Units,2017,1,0,
Cassette Single,Cassette,Units,2018,1,0,
Cassette Single,Cassette,Units,2019,1,0,
LP/EP,Vinyl,Units,1973,1,0,280
LP/EP,Vinyl,Units,1974,1,0,276
LP/EP,Vinyl,Units,1975,1,0,257
LP/EP,Vinyl,Units,1976,1,0,273
LP/EP,Vinyl,Units,1977,1,0,344
LP/EP,Vinyl,Units,1978,1,0,341.3
LP/EP,Vinyl,Units,1979,1,0,290
LP/EP,Vinyl,Units,1980,1,0,308
LP/EP,Vinyl,Units,1981,1,0,295.2
LP/EP,Vinyl,Units,1982,1,0,243.9
LP/EP,Vinyl,Units,1983,1,0,209.6
LP/EP,Vinyl,Units,1984,1,0,204.6
LP/EP,Vinyl,Units,1985,1,0,167
LP/EP,Vinyl,Units,1986,1,0,125.2
LP/EP,Vinyl,Units,1987,1,0,107
LP/EP,Vinyl,Units,1988,1,0,72.4
LP/EP,Vinyl,Units,1989,1,0,34.6
LP/EP,Vinyl,Units,1990,1,0,11.7
LP/EP,Vinyl,Units,1991,1,0,4.8
LP/EP,Vinyl,Units,1992,1,0,2.3
LP/EP,Vinyl,Units,1993,1,0,1.2
LP/EP,Vinyl,Units,1994,1,0,1.9
LP/EP,Vinyl,Units,1995,1,0,2.2
LP/EP,Vinyl,Units,1996,1,0,2.9
LP/EP,Vinyl,Units,1997,1,0,2.7
LP/EP,Vinyl,Units,1998,1,0,3.4
LP/EP,Vinyl,Units,1999,1,0,2.9
LP/EP,Vinyl,Units,2000,1,0,2.2
LP/EP,Vinyl,Units,2001,1,0,2.3
LP/EP,Vinyl,Units,2002,1,0,1.743
LP/EP,Vinyl,Units,2003,1,0,1.5
